"ID_RECEITA","ANO_ORCAMENTARIO","CODIGO_ORCAMENTARIO","CODIGO_CATEGORIA","CATEGORIA","CODIGO_ORIGEM","ORIGEM","CODIGO_ESPECIE","ESPECIE","CODIGO_RUBRICA","RUBRICA","DESCRICAO","EXTRA","DATA_LANCAMENTO","ULTIMA_ATUALIZACAO","VALOR_RECEITA","UNIDADE_GESTORA_ID","NOME_UNIDADE_GESTORA"
"14092","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/02/22","25/02/22","11579","1","Prefeitura Municipal de Belo Jardim"
"14093","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/02/22","25/02/22","5680","1","Prefeitura Municipal de Belo Jardim"
"14094","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/02/22","25/02/22","4588","1","Prefeitura Municipal de Belo Jardim"
"14378","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/01/22","25/01/22","15167","1","Prefeitura Municipal de Belo Jardim"
"14379","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/01/22","25/01/22","7440","1","Prefeitura Municipal de Belo Jardim"
"14380","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/01/22","25/01/22","6009","1","Prefeitura Municipal de Belo Jardim"
"14503","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/03/22","25/03/22","8999","1","Prefeitura Municipal de Belo Jardim"
"14504","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/03/22","25/03/22","4414","1","Prefeitura Municipal de Belo Jardim"
"14505","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/03/22","25/03/22","3565","1","Prefeitura Municipal de Belo Jardim"
"14840","2022","11125001010","1","Receitas Correntes","11","Impostos, Taxas e Contribuições de Melhoria","111","Impostos","1112","Impostos sobre o Patrimônio","Imposto Predial","N","25/04/22","25/04/22","116562","1","Prefeitura Municipal de Belo Jardim"
